epoch,dense_1_accuracy,dense_1_loss,dense_2_accuracy,dense_2_loss,dense_accuracy,dense_loss,loss,val_dense_1_accuracy,val_dense_1_loss,val_dense_2_accuracy,val_dense_2_loss,val_dense_accuracy,val_dense_loss,val_loss
0,0.08575332909822464,2.835294008255005,0.05893406271934509,3.357689380645752,0.2880082130432129,1.735491394996643,7.928473949432373,0.08290155231952667,2.8241281509399414,0.06177759915590286,3.307194948196411,0.30928656458854675,1.7245607376098633,7.855884552001953
1,0.09002391248941422,2.807412624359131,0.063033826649189,3.261584997177124,0.29877007007598877,1.714672565460205,7.783674716949463,0.07971303164958954,2.8712244033813477,0.057791948318481445,3.3363711833953857,0.3104822635650635,1.7453721761703491,7.952967166900635
2,0.09549026191234589,2.79573130607605,0.0671335831284523,3.2435719966888428,0.30662795901298523,1.7089850902557373,7.748289585113525,0.07333599030971527,2.864518642425537,0.060183338820934296,3.3395705223083496,0.3124750852584839,1.712774634361267,7.916862487792969
3,0.10232319682836533,2.7672319412231445,0.07738298922777176,3.204000473022461,0.30936112999916077,1.7017303705215454,7.672962665557861,0.0840972512960434,2.8945529460906982,0.060183338820934296,3.3323874473571777,0.29414108395576477,1.7174850702285767,7.9444260597229
4,0.11411000788211823,2.7410759925842285,0.08370345085859299,3.1613783836364746,0.30884864926338196,1.6970202922821045,7.59947395324707,0.0908728539943695,2.8675143718719482,0.060183338820934296,3.338479995727539,0.30848944187164307,1.7051156759262085,7.911106586456299
5,0.12555517256259918,2.7014899253845215,0.11154765635728836,3.0872113704681396,0.307994544506073,1.6926425695419312,7.481346130371094,0.0840972512960434,2.897216558456421,0.05898764356970787,3.375394344329834,0.26265445351600647,1.7198810577392578,7.992491722106934
6,0.14759139716625214,2.658869981765747,0.14212504029273987,3.000579833984375,0.3114109933376312,1.6895562410354614,7.349005699157715,0.08688720315694809,2.9021246433258057,0.05380629748106003,3.3739004135131836,0.3029095232486725,1.707746982574463,7.983773231506348
7,0.16108644008636475,2.6147711277008057,0.1790228933095932,2.9031617641448975,0.31072771549224854,1.6870777606964111,7.205010890960693,0.09246712177991867,2.9310433864593506,0.05619768798351288,3.439732313156128,0.30171382427215576,1.7062907218933105,8.077066421508789
8,0.18414759635925293,2.567833185195923,0.21814143657684326,2.797820806503296,0.31294840574264526,1.6840381622314453,7.0496931076049805,0.0860900729894638,2.9845385551452637,0.06058190390467644,3.539886474609375,0.3049023449420929,1.705554485321045,8.229979515075684
9,0.19935087859630585,2.5269923210144043,0.25230610370635986,2.69514536857605,0.31072771549224854,1.682578682899475,6.9047160148620605,0.08848146349191666,3.023365020751953,0.04982064664363861,3.631765604019165,0.30450379848480225,1.7081797122955322,8.363308906555176
10,0.2119918018579483,2.4916019439697266,0.2781004309654236,2.6029303073883057,0.3134608864784241,1.6815341711044312,6.776066780090332,0.08011160045862198,3.002739906311035,0.05221203714609146,3.636108160018921,0.31008368730545044,1.7121795415878296,8.35102653503418
11,0.22599931061267853,2.458921432495117,0.28937479853630066,2.520455837249756,0.3144858181476593,1.6817580461502075,6.661134243011475,0.07373455911874771,3.0837926864624023,0.05460342764854431,3.856567859649658,0.3096851408481598,1.7156267166137695,8.655986785888672
12,0.23812778294086456,2.4202780723571777,0.32712674140930176,2.4054114818573,0.3149982988834381,1.6805229187011719,6.506213188171387,0.08848146349191666,3.126446485519409,0.06297329813241959,4.031178951263428,0.3088879883289337,1.7179828882217407,8.87560749053955
13,0.2613597512245178,2.358614921569824,0.37649470567703247,2.2356531620025635,0.31431499123573303,1.6798417568206787,6.274111270904541,0.07811877131462097,3.361769437789917,0.05420486256480217,4.647743225097656,0.30649662017822266,1.7229620218276978,9.732475280761719
14,0.28595831990242004,2.3030667304992676,0.42381277680397034,2.070945978164673,0.3122651278972626,1.68053472042083749586792,5.971714019775391,0.0697489008307457,3.688654899597168,0.05858907848596573,6.676017761230469,0.2965324819087982,1.7222061157226562,12.086881637573242
15,0.3226853311061859,2.1797447204589844,0.4947044849395752,1.832969069480896,0.3098735809326172,1.6827579736709595,5.69547176361084,0.06616181880235672,3.8450586795806885,0.05619768798351288,7.248377799987793,0.30370664596557617,1.712756872177124,12.806194305419922
16,0.3346429765224457,2.117563009262085,0.5309190154075623,1.702261209487915,0.30953195691108704,1.6850100755691528,5.50483512878418,0.07054603099822998,4.159030437469482,0.05699481815099716,10.34388542175293,0.2937425374984741,1.708579182624817,16.21149444580078
17,0.35480013489723206,2.0601718425750732,0.5505636930465698,1.5969399213790894,0.3091903030872345,1.6830599308013916,5.340170860290527,0.06377042829990387,4.79353666305542,0.06098046898841858,12.861534118652344,0.3060980439186096,1.7192555665969849,19.374326705932617
18,0.41373419761657715,1.9107954502105713,0.6434916257858276,1.2939121723175049,0.3115818202495575,1.6813888549804688,4.886096954345703,0.06855320930480957,4.174800395965576,0.04663212597370148,9.360876083374023,0.298126757144928,1.7247611284255981,15.260436058044434
19,0.4540485143661499,1.7755763530731201,0.6836351156234741,1.1322081089019775,0.312777578830719,1.6787108182907104,4.586494445800781,0.07612594962120056,4.166983604431152,0.05021921172738075,8.363458633422852,0.3076923191547394,1.7129887342453003,14.243431091308594
20,0.5020,0.4680560231208801,1.7330217361450195,0.69439697265625,1.0669276714324951,0.3122651278972626,1.6808903217315674,4.480838775634766,0.07293742895126343,3.9873151779174805,0.0334794744849205,6.470857620239258,0.2849740982055664,1.7139664888381958,12.172140121459961
21,0.5278441905975342,1.5608630180358887,0.7589682340621948,0.8694009184837341,0.31363171339035034,1.6804956197738647,4.110759735107422,0.09007572382688522,5.702282905578613,0.04424073174595833,9.318965911865234,0.2789956033229828,1.7126826047897339,16.733932495117188
22,0.5975401401519775,1.3635358810424805,0.8028698563575745,0.6924166679382324,0.3138025403022766,1.6763355731964111,3.732288122177124,0.07373455911874771,4.99970006942749,0.048624951392412186,10.14272403717041,0.29892387986183167,1.7091578245162964,16.851577758789062
23,0.6395626664161682,1.2109214067459106,0.8177314400672913,0.6341007947921753,0.31363171339035034,1.6763341426849365,3.5213563442230225,0.07333599030971527,4.749271392822266,0.0478278212249279,9.180898666381836,0.2993224263191223,1.720341682434082,15.650507926940918
24,0.6868807673454285,1.0616127252578735,0.8467714190483093,0.540184736251831,0.3163648843765259,1.6761116981506348,3.277909278869629,0.05460342764854431,6.5344438552856445,0.04424073174595833,9.839085578918457,0.2857712209224701,1.7181373834609985,18.091663360595703
25,0.739152729511261,0.9083359241485596,0.8742740154266357,0.4471351206302643,0.3126067519187927,1.6767686605453491,3.0322391986846924,0.05579912289977074,6.300244331359863,0.03945795074105263,12.041947364807129,0.26066163182258606,1.7228152751922607,20.065011978149414
26,0.7598223686218262,0.8311455845832825,0.8741031885147095,0.42763039469718933,0.31124016642570496,1.678268551826477,2.937044858932495,0.05938620865345001,5.544999122619629,0.03746512532234192,8.971636772155762,0.2965324819087982,1.709093689918518,16.225732803344727
27,0.7827126979827881,0.745613157749176,0.8862316608428955,0.395624577999115,0.31124016642570496,1.6772834062576294,2.818521499633789,0.07054603099822998,6.101822376251221,0.0382622554898262,8.421209335327148,0.2953367829322815,1.7134019136428833,16.236438751220703
28,0.7943286895751953,0.683588981628418,0.8918688297271729,0.36345377564430237,0.30884864926338196,1.6752650737762451,2.7223076820373535,0.05500199273228645,8.000502586364746,0.03706656023859978,13.386086463928223,0.29852530360221863,1.7351579666137695,23.121747970581055
29,0.8436965942382812,0.5619380474090576,0.9120259881019592,0.2943822145462036,0.31311923265457153,1.6759124994277954,2.5322322845458984,0.0526106022298336,8.6511726,0.0382622554898262,11.660475730895996,0.2937425374984741,1.7160999774932861,21.475576400756836
30,0.8708575367927551,0.47043201327323914,0.9340621829032898,0.234882652759552,0.31294840574264526,1.6761327981948853,2.3814468383789062,0.06058190390467644,8.419656753540039,0.0430450364947319,11.903977394104004,0.30051812529563904,1.7120442390441895,22.035676956176758
31,0.8809360861778259,0.40740346908569336,0.9390160441398621,0.20706067979335785,0.3138025403022766,1.6748765707015991,2.289342164993286,0.06456755846738815,6.889171600341797,0.041052211076021194,10.937396049499512,0.3060980439186096,1.7143821716308594,19.54094886779785
32,0.9021182060241699,0.3586537837982178,0.9424325227737427,0.1910153031349182,0.31294840574264526,1.675872802734375,2.2255423069000244,0.07054603099822998,7.474765300750732,0.03387803956866264,11.527647018432617,0.3021124005317688,1.7110934257507324,20.71350860595703
33,0.9034848213195801,0.3540281653404236,0.9301332235336304,0.21251647174358368,0.31192347407341003,1.6771186590194702,2.2436635494232178,0.07891590148210526,8.254751205444336,0.043443601578474045,11.933830261230469,0.30251094698905945,1.713740348815918,21.90232276916504
34,0.9104885458946228,0.3175734579563141,0.9463614821434021,0.17079578340053558,0.31414416432380676,1.6750459671020508,2.1634156703948975,0.06137903407216072,9.66748332977295,0.055400557816028595,13.354208946228027,0.3104822635650635,1.7093578577041626,24.731048583984375
35,0.9289374947547913,0.2705329954624176,0.9554151296615601,0.16458319127559662,0.3139733374118805,1.6759841442108154,2.111100673675537,0.05659625306725502,7.1048903465271,0.0334794744849205,10.548820495605469,0.3033080995082855,1.7084746360778809,19.3621768951416
36,0.9388452172279358,0.22894462943077087,0.9613938927650452,0.13200142979621887,0.31192347407341003,1.6774924993515015,2.0384390354156494,0.06377042829990387,9.42175579071045,0.03786369040608406,12.156902313232422,0.3136707842350006,1.7102895975112915,23.288955688476562
37,0.94337,0.9180048108100891,0.28838416934013367,0.9473863840103149,0.1645178496837616,0.3134608864784241,1.6754474639892578,2.1283493041992188,0.0717417299747467,7.4623918533325195,0.04224790632724762,9.466731071472168,0.30928656458854675,1.7117118835449219,18.640838623046875
38,0.9111718535423279,0.3058319687843323,0.9460198283195496,0.18895472586154938,0.31363171339035034,1.6738505363464355,2.1686367988586426,0.06536468863487244,9.195396423339844,0.04424073174595833,12.756429672241211,0.30928656458854675,1.7079933881759644,23.659822463989258
39,0.9045097231864929,0.3200070261955261,0.9366245269775391,0.2087370604276657,0.31243595480918884,1.671930193901062,2.2006747722625732,0.06935033947229385,8.948177337646484,0.039059385657310486,11.001351356506348,0.3060980439186096,1.705293893814087,21.654823303222656
40,0.8829860091209412,0.3801216185092926,0.9139050245285034,0.27254512906074524,0.31311923265457153,1.6723073720932007,2.3249738216400146,0.062176164239645004,9.666581153869629,0.036667995154857635,13.217472076416016,0.3009167015552521,1.7064235210418701,24.590473175048828
41,0.8795695304870605,0.3868916928768158,0.9186880588531494,0.27116355299949646,0.31192347407341003,1.6741535663604736,2.3322091102600098,0.05938620865345001,9.06293773651123,0.036667995154857635,11.944993019104004,0.3056994676589966,1.7051197290420532,22.71304702758789
42,0.8879398703575134,0.3653638958930969,0.9205671548843384,0.2589047849178314,0.31294840574264526,1.6735445261001587,2.2978124618530273,0.05858907848596573,9.027762413024902,0.036269430071115494,11.149129867553711,0.31008368730545044,1.7045283317565918,21.88142204284668
43,0.9144175052642822,0.2932935357093811,0.9443115592002869,0.19178222119808197,0.3132900595664978,1.6732258796691895,2.158301830291748,0.07692307978868484,7.505461692810059,0.036269430071115494,9.0556001663208,0.3056994676589966,1.7082631587982178,18.26932144165039
44,0.9420908689498901,0.2139514982700348,0.9605398178100586,0.13135643303394318,0.3138025403022766,1.6712193489074707,2.0165278911590576,0.05500199273228645,9.166886329650879,0.038660820573568344,12.377544403076172,0.3076923191547394,1.7077549695968628,23.25218963623047
45,0.9518278241157532,0.1767624020576477,0.9730098843574524,0.10352729260921478,0.31585240364074707,1.669943928718567,1.9502334594726562,0.08768433332443237,8.739821434020996,0.0478278212249279,10.666356086730957,0.3060980439186096,1.7075457572937012,21.113725662231445
46,0.9615647196769714,0.14312191307544708,0.9714725017547607,0.09257393330335617,0.3151691257953644,1.6689876317977905,1.9046837091445923,0.08090873062610626,7.690834045410156,0.038660820573568344,10.035088539123535,0.30450379848480225,1.7078139781951904,19.43373680114746
47,0.9757430553436279,0.11219989508390427,0.9803553223609924,0.07913215458393097,0.31585240364074707,1.667304515838623,1.8586360216140747,0.074531689286232,8.073386192321777,0.051016341894865036,9.60053825378418,0.3056994676589966,1.7108005285263062,19.384723663330078
