,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.015312916111850865,0.05357142857142857,0.06818181818181818,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03297161936560935,0.008135359425306164,0.007258918084272814
recall,0.0,0.0,0.0,0.48936170212765956,0.04411764705882353,0.4,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03297161936560935,0.04880162703379224,0.03297161936560935
f1-score,0.0,0.0,0.0,0.02969657843770174,0.04838709677419355,0.11650485436893203,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03297161936560935,0.011329426479041366,0.00979172240072377
support,99.0,117.0,277.0,47.0,136.0,120.0,68.0,104.0,47.0,162.0,92.0,155.0,76.0,194.0,26.0,52.0,69.0,0.03297161936560935,2396.0,2396.0
