,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.0,0.19794584500466852,0.0,0.0,0.0,0.11471698113207547,0.15191986644407346,0.05211047102279067,0.05202575556739637
recall,0.0,0.4463157894736842,0.0,0.0,0.0,0.5692883895131086,0.15191986644407346,0.16926736316446545,0.15191986644407346
f1-score,0.0,0.2742561448900388,0.0,0.0,0.0,0.19095477386934673,0.15191986644407346,0.07753515312656425,0.0756496633747429
support,638.0,475.0,254.0,231.0,531.0,267.0,0.15191986644407346,2396.0,2396.0
