,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.0,0.19919719016557952,0.0,0.0,0.0,0.13399503722084366,0.1882303839732888,0.055532037897737196,0.05442209526987291
recall,0.0,0.8357894736842105,0.0,0.0,0.0,0.20224719101123595,0.1882303839732888,0.1730061107825744,0.1882303839732888
f1-score,0.0,0.3217179902755268,0.0,0.0,0.0,0.16119402985074627,0.1882303839732888,0.08048533668771217,0.08174242543865796
support,638.0,475.0,254.0,231.0,531.0,267.0,0.1882303839732888,2396.0,2396.0
