,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.0,0.20190689848569826,0.0,0.0,0.0,0.10277324632952692,0.17654424040066777,0.05078002413587087,0.05148006408626476
recall,0.0,0.7578947368421053,0.0,0.0,0.0,0.23595505617977527,0.17654424040066777,0.16564163217031344,0.17654424040066777
f1-score,0.0,0.31886625332152346,0.0,0.0,0.0,0.1431818181818182,0.17654424040066777,0.0770080119172236,0.07916987303099712
support,638.0,475.0,254.0,231.0,531.0,267.0,0.17654424040066777,2396.0,2396.0
