,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.020089285714285716,0.03409090909090909,0.050242130750605324,0.0,0.0,0.028846153846153848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042153589315525875,0.0066634239700977,0.005411262514931943
recall,0.0,0.0,0.0,0.19148936170212766,0.022058823529411766,0.6916666666666667,0.0,0.0,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042153589315525875,0.05164372131831456,0.042153589315525875
f1-score,0.0,0.0,0.0,0.03636363636363636,0.026785714285714284,0.09367945823927765,0.0,0.0,0.047058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042153589315525875,0.010194381620902004,0.00784860089588636
support,99.0,117.0,277.0,47.0,136.0,120.0,68.0,104.0,47.0,162.0,92.0,155.0,76.0,194.0,26.0,52.0,69.0,0.042153589315525875,2396.0,2396.0
