,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.0,0.19463753723932473,0.0,0.0,0.0,0.10367170626349892,0.1419031719532554,0.0497182072504706,0.05013905499208408
recall,0.0,0.4126315789473684,0.0,0.0,0.0,0.5393258426966292,0.1419031719532554,0.1586595702739996,0.1419031719532554
f1-score,0.0,0.26450742240215924,0.0,0.0,0.0,0.1739130434782609,0.1419031719532554,0.07307007764673669,0.0718179500207518
support,638.0,475.0,254.0,231.0,531.0,267.0,0.1419031719532554,2396.0,2396.0
