,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.0167897918065816,0.056,0.04670912951167728,0.0,0.0,0.028938906752411574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026293823038397328,0.007421891403533523,0.0064150018254064915
recall,0.0,0.0,0.0,0.5319148936170213,0.051470588235294115,0.18333333333333332,0.0,0.0,0.19148936170212766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026293823038397328,0.04791040884438882,0.026293823038397328
f1-score,0.0,0.0,0.0,0.032552083333333336,0.053639846743295014,0.07445008460236886,0.0,0.0,0.05027932960893855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026293823038397328,0.010546067214396788,0.008398207728572273
support,99.0,117.0,277.0,47.0,136.0,120.0,68.0,104.0,47.0,162.0,92.0,155.0,76.0,194.0,26.0,52.0,69.0,0.026293823038397328,2396.0,2396.0
