,1.Eagle,2.Tree,3.Chair,4.Standing,5.Wide legged forward bend,6.Dolphin,7.Downward dog,8.Intese side stretch,9.Half moon,10.Extended triangle,11.Extended side angle,12.Gate,13.Warrior I.,14.ReverseWarrior,15.Low lunges,16.Warrior II,17.Warrior III,18.Lord of dance,19.Standing big-toe hold,20.Standing split,21.Easy sitting,22.Cobbler,23.Garland,24.Staff,25.Noose,26.Cow face,27.Hero and thunderbolt,28.Bhardwajas twist,29.Half lord of the fishes,30.Split,31.Wide angle seated forward bend,32.Head to knee,33.Revolvedhead-toknee,34.Seated forward bend,35.Tortoise pose,36.Shooting bow,37.Heron,38.King pigeon,39.Cranecrow,40.Shoulder pressing,41.Cockerel,42.Scale,43.Firefly,44.Side crane-crow,45.Eight angle,46.Sage Koundaniya,47.Handstand,48.Headstand,49.Shoulderstand,50.Feather peacock,51.Legs up to wall,52. Plow,53.Scorpion,54.Corpse,55.Fish,56.Happy baby,57.Reclining hand-to-big-toe,58.Wind relieving,59.Reclining cobbler,60.Reclining hero,61.Yogic sleep,62.Cobra,63.Frog,64.Locust,65.Child,66.Extended puppy,67.Side reclining leg lift,68.Side plank,69.Dolphin plank,70.Low plank (four limbedstaff,71.Plank,72.Peacockb ,73.Upward bow,74.Upward facing two- foot staff,75.Upward plank,76.Pigeon,77.Bridge,78.Wild things,79.Camel,80.Cat-cow,81. Boat,82. Bow,accuracy,macro avg,weighted avg
precision,0.013114754098360656,0.00966183574879227,0.012039660056657223,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011686143572621035,0.0006348491367579875,0.00043657346162964314
recall,0.26666666666666666,0.4,0.6296296296296297,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011686143572621035,0.01636281514330295,0.011686143572621035
f1-score,0.025,0.018867924528301886,0.023627519110493395,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011686143572621035,0.0011279932151072596,0.0007704348430333264
support,15.0,15.0,27.0,22.0,20.0,44.0,28.0,26.0,29.0,37.0,85.0,29.0,27.0,33.0,45.0,6.0,10.0,29.0,42.0,35.0,12.0,81.0,59.0,32.0,42.0,35.0,35.0,35.0,40.0,17.0,36.0,38.0,28.0,16.0,17.0,20.0,13.0,26.0,26.0,43.0,40.0,5.0,18.0,6.0,10.0,40.0,29.0,12.0,22.0,28.0,27.0,36.0,30.0,19.0,6.0,28.0,46.0,57.0,46.0,12.0,35.0,18.0,19.0,35.0,34.0,50.0,25.0,29.0,28.0,38.0,12.0,36.0,36.0,31.0,34.0,12.0,22.0,30.0,30.0,28.0,12.0,30.0,0.011686143572621035,2396.0,2396.0
