,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.0,0.22696245733788395,0.0,0.0,0.0,0.1407185628742515,0.21948051948051947,0.06128017003535591,0.06836722901875872
recall,0.0,0.9432624113475178,0.0,0.0,0.0,0.09288537549407115,0.21948051948051947,0.1726912978069315,0.21948051948051947
f1-score,0.0,0.3658872077028886,0.0,0.0,0.0,0.11190476190476191,0.21948051948051947,0.07963199493460842,0.09510763304946838
support,1062.0,846.0,326.0,377.0,733.0,506.0,0.21948051948051947,3850.0,3850.0
