,1.Eagle,2.Tree,3.Chair,4.Standing,5.Wide legged forward bend,6.Dolphin,7.Downward dog,8.Intese side stretch,9.Half moon,10.Extended triangle,11.Extended side angle,12.Gate,13.Warrior I.,14.ReverseWarrior,15.Low lunges,16.Warrior II,17.Warrior III,18.Lord of dance,19.Standing big-toe hold,20.Standing split,21.Easy sitting,22.Cobbler,23.Garland,24.Staff,25.Noose,26.Cow face,27.Hero and thunderbolt,28.Bhardwajas twist,29.Half lord of the fishes,30.Split,31.Wide angle seated forward bend,32.Head to knee,33.Revolvedhead-toknee,34.Seated forward bend,35.Tortoise pose,36.Shooting bow,37.Heron,38.King pigeon,39.Cranecrow,40.Shoulder pressing,41.Cockerel,42.Scale,43.Firefly,44.Side crane-crow,45.Eight angle,46.Sage Koundaniya,47.Handstand,48.Headstand,49.Shoulderstand,50.Feather peacock,51.Legs up to wall,52. Plow,53.Scorpion,54.Corpse,55.Fish,56.Happy baby,57.Reclining hand-to-big-toe,58.Wind relieving,59.Reclining cobbler,60.Reclining hero,61.Yogic sleep,62.Cobra,63.Frog,64.Locust,65.Child,66.Extended puppy,67.Side reclining leg lift,68.Side plank,69.Dolphin plank,70.Low plank (four limbedstaff,71.Plank,72.Peacockb ,73.Upward bow,74.Upward facing two- foot staff,75.Upward plank,76.Pigeon,77.Bridge,78.Wild things,79.Camel,80.Cat-cow,81. Boat,82. Bow,accuracy,macro avg,weighted avg
precision,0.009745127436281859,0.004700352526439483,0.02457002457002457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01064935064935065,0.000475798835765194,0.0005002623293477866
recall,0.5416666666666666,0.5333333333333333,0.30303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01064935064935065,0.016805247597930523,0.01064935064935065
f1-score,0.01914580265095729,0.0093185789167152,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01064935064935065,0.0009014503295392433,0.0009348773889282345
support,24.0,15.0,66.0,40.0,37.0,57.0,62.0,77.0,51.0,59.0,116.0,30.0,45.0,61.0,75.0,6.0,12.0,48.0,58.0,43.0,14.0,96.0,104.0,43.0,49.0,54.0,46.0,43.0,48.0,24.0,70.0,45.0,44.0,22.0,38.0,31.0,31.0,33.0,38.0,97.0,59.0,9.0,25.0,9.0,13.0,72.0,35.0,23.0,32.0,51.0,32.0,55.0,78.0,22.0,8.0,40.0,61.0,116.0,77.0,16.0,80.0,28.0,41.0,73.0,57.0,63.0,34.0,34.0,47.0,79.0,23.0,54.0,69.0,41.0,61.0,35.0,46.0,65.0,42.0,39.0,15.0,39.0,0.01064935064935065,3850.0,3850.0
