,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.025477707006369428,0.0,0.050724637681159424,0.0,0.0,0.02613065326633166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03922077922077922,0.005116649897693025,0.004043686202046545
recall,0.0,0.0,0.0,0.1941747572815534,0.0,0.4883720930232558,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03922077922077922,0.050794009181907115,0.03922077922077922
f1-score,0.0,0.0,0.0,0.04504504504504505,0.0,0.09190371991247265,0.0,0.0,0.04846225535880708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03922077922077922,0.009270551015816239,0.007319219568521613
support,156.0,236.0,402.0,103.0,229.0,215.0,123.0,201.0,78.0,208.0,118.0,250.0,127.0,326.0,77.0,69.0,90.0,0.03922077922077922,3850.0,3850.0
