,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.0,0.19816053511705686,0.0,0.0,0.0,0.0,0.19782971619365608,0.03302675585284281,0.03928474715384057
recall,0.0,0.9978947368421053,0.0,0.0,0.0,0.0,0.19782971619365608,0.16631578947368422,0.19782971619365608
f1-score,0.0,0.3306592256714335,0.0,0.0,0.0,0.0,0.19782971619365608,0.05510987094523892,0.0655522254565655
support,638.0,475.0,254.0,231.0,531.0,267.0,0.19782971619365608,2396.0,2396.0
