,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01921470342522974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019198664440734557,0.000960735171261487,0.00037691613563681047
recall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019198664440734557,0.04893617021276596,0.019198664440734557
f1-score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03768947152806226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019198664440734557,0.0018844735764031132,0.0007393176802249276
support,99.0,117.0,277.0,47.0,136.0,120.0,68.0,104.0,47.0,162.0,92.0,155.0,76.0,194.0,26.0,52.0,69.0,0.019198664440734557,2396.0,2396.0
