,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.0,0.2047640861200183,0.0,0.0,0.0,0.1267605633802817,0.19782971619365608,0.055254108250050005,0.05471953728278126
recall,0.0,0.9410526315789474,0.0,0.0,0.0,0.10112359550561797,0.19782971619365608,0.17369603784742757,0.19782971619365608
f1-score,0.0,0.33634311512415344,0.0,0.0,0.0,0.1125,0.19782971619365608,0.07480718585402557,0.0792155591335446
support,638.0,475.0,254.0,231.0,531.0,267.0,0.19782971619365608,2396.0,2396.0
