,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.0,0.01797175866495507,1.0,0.06375838926174497,0.0,0.0,0.018627450980392157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03005008347245409,0.055017879945354606,0.06067244138762133
recall,0.0,0.0,0.0,0.2978723404255319,0.007352941176470588,0.31666666666666665,0.0,0.0,0.40425531914893614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03005008347245409,0.051307363370880266,0.03005008347245409
f1-score,0.0,0.0,0.0,0.03389830508474576,0.014598540145985401,0.10614525139664806,0.0,0.0,0.035613870665417054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03005008347245409,0.009512798364639813,0.007508307131765207
support,99.0,117.0,277.0,47.0,136.0,120.0,68.0,104.0,47.0,162.0,92.0,155.0,76.0,194.0,26.0,52.0,69.0,0.03005008347245409,2396.0,2396.0
